phylum,order,sub-order,family,genus
ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Enchytraeidae,Grania
ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,test3
ANNELIDA,OLIGOCHAETA,TUBIFICIDA,Tubificidae,Tubificoides
ANNELIDA,POLYCHAETA,AMPHINOMIDA,Amphinomidae,test4
ANNELIDA,POLYCHAETA,AMPHINOMIDA,Amphinomidae,Paramphinome
ANNELIDA,POLYCHAETA,AMPHINOMIDA,Euphrosinidae,Euphrosine
ANNELIDA,POLYCHAETA,CAPITELLIDA,Capitellidae,Capitella
ANNELIDA,POLYCHAETA,CAPITELLIDA,Capitellidae,test5
ANNELIDA,POLYCHAETA,CAPITELLIDA,Capitellidae,Heteromastus
ANNELIDA,POLYCHAETA,CAPITELLIDA,Capitellidae,Mediomastus
ANNELIDA,POLYCHAETA,CAPITELLIDA,Capitellidae,Notomastus
ANNELIDA,POLYCHAETA,CAPITELLIDA,Capitellidae,Peresiella
ANNELIDA,POLYCHAETA,CAPITELLIDA,Maldanidae,Clymenura
ANNELIDA,POLYCHAETA,CAPITELLIDA,Maldanidae,Euclymene
